nome,preco,especificacoes,imagem,url
Gabinete Rise Mode Galaxy Full Glass ATX Mid Tower (Branco),"R$ 811,70
10x de R$ 81,17","Add na build
Especificações
Fabricante Rise Mode
Modelo Galaxy Full Glass
PN
RM-CA-FG-W
Tipo ATX Mid Tower
Formatos de placa-mãe suportados
ATX
Micro ATX
Mini ITX
Fonte inclusa
Potência da fonte inclusa
Painel frontal USB 3.0/3.1
Filtro removível
Janela lateral
USB 2.0 2
USB 3.0 1
Slots de expansão Full-Height 7
Slots de expansão Half-Height 0
Baia externa 5.25"" 0
Baia externa 3.5"" 0
Baia interna 3.5"" 2
Baia interna 2.5"" 3
Tamanho máximo da placa de vídeo 400 mm
Dimensões 418 x 277 x 440 mm
Volume 50.9 litros
Peso
Cor Branco
Cor do LED RGB
Preços
Loja Frete Preço Preço PIX
R$ 811,70
10x de R$ 81,17 R$ 689,99
Comprar

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://static.meupc.net/produto/gabinete-rise-mode-galaxy-full-glass-rm-ca-fg-w-z2q4qT-L.jpg,https://meupc.net/peca/YG4hri/gabinete-rise-mode-galaxy-full-glass-rm-ca-fg-w
Gabinete Redragon Wideload Pro ATX Mid Tower (Preto),"R$ 494,00
12x de R$ 41,17","Add na build
Especificações
Fabricante Redragon
Modelo Wideload Pro
PN
CA-604B-PRO
Tipo ATX Mid Tower
Formatos de placa-mãe suportados
ATX
Micro ATX
Mini ITX
Fonte inclusa
Potência da fonte inclusa
Painel frontal USB 3.0/3.1
Filtro removível
Janela lateral
USB 2.0 1
USB 3.0 1
Slots de expansão Full-Height 6
Slots de expansão Half-Height 0
Baia externa 5.25"" 0
Baia externa 3.5"" 0
Baia interna 3.5"" 2
Baia interna 2.5"" 2
Tamanho máximo da placa de vídeo 370 mm
Dimensões 428 x 308 x 395 mm
Volume 52.1 litros
Peso
Cor Preto
Cor do LED
Preços
Loja Frete Preço Preço PIX
R$ 494,00
12x de R$ 41,17 R$ 419,90
Comprar
R$ 588,22
12x de R$ 49,02 R$ 499,99
Comprar

Ir à loja

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Gugudada6561427 · há 5 meses
tem suporte pra quantas fans
[2] Curtir
Responder
kauan546685 · há 5 meses (editado)
6 fans, mas se for colocar air cooler, da para colocar 9
[1] Curtir
Responder
KronoZ_exe · há 5 meses
10
[1] Curtir
Responder
Koyomi · há 4 meses
ele funciona com placa mae btf ?
[2] Curtir
Responder
Alho_san · há 3 meses
Tem que comprar fans adicionais ou já vem junto ?
[1] Curtir
Responder
Miguelcaza_ · há 2 meses
tem que comprar
[1] Curtir
Responder",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/XN755k/gabinete-redragon-wideload-pro-ca604bpro
Gabinete Kalkan Avalon Pro ATX Mid Tower (Preto),"R$ 211,65
10x de R$ 21,17","Add na build
Especificações
Fabricante Kalkan
Modelo Avalon Pro
PN
KLK00037
Tipo ATX Mid Tower
Formatos de placa-mãe suportados
ATX
Micro ATX
Mini ITX
Fonte inclusa
Potência da fonte inclusa
Painel frontal USB 3.0/3.1
Filtro removível
Janela lateral
USB 2.0 2
USB 3.0 1
Slots de expansão Full-Height 7
Slots de expansão Half-Height 0
Baia externa 5.25"" 0
Baia externa 3.5"" 0
Baia interna 3.5"" 1
Baia interna 2.5"" 3
Tamanho máximo da placa de vídeo 315 mm
Dimensões 420 x 212 x 333 mm
Volume 29.7 litros
Peso
Cor Preto
Cor do LED
Preços
Loja Frete Preço Preço PIX
R$ 211,65
10x de R$ 21,17 R$ 179,90
Comprar
R$ 266,50
10x de R$ 26,65 R$ 239,90
Comprar
Grátis R$ 327,15
1x de R$ 327,15 R$ 327,15
Comprar
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/zjwfFA/gabinete-kalkan-avalon-pro-klk00037
Gabinete C3 Tech Aquarius MicroATX Mini Tower (Branco),"R$ 294,10
10x de R$ 29,41","Add na build
Especificações
Fabricante C3 Tech
Modelo Aquarius
PN
MT-G810WH
Tipo MicroATX Mini Tower
Formatos de placa-mãe suportados
Micro ATX
Mini ITX
Fonte inclusa
Potência da fonte inclusa
Painel frontal USB 3.0/3.1
Filtro removível
Janela lateral
USB 2.0 1
USB 3.0 1
USB 3.0 Type-C 1
Slots de expansão Full-Height 4
Slots de expansão Half-Height 0
Baia externa 5.25"" 0
Baia externa 3.5"" 0
Baia interna 3.5"" 2
Baia interna 2.5"" 2
Tamanho máximo da placa de vídeo 330 mm
Dimensões 339 x 276 x 330 mm
Volume 30.9 litros
Peso
Cor Branco
Cor do LED RGB
Preços
Loja Frete Preço Preço PIX
R$ 294,10
10x de R$ 29,41 R$ 249,99
Comprar
Grátis R$ 273,00
1x de R$ 273,00 R$ 273,00
Comprar
R$ 314,91
1x de R$ 314,91 R$ 314,91
(Última atualização há 2 h)
Comprar

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
hecktor · há 6 meses
vem com fans?
[3] Curtir
Responder
Lucasmor123 · mês passado
vem sem fan
[1] Curtir
Responder
pcmaker489 · mês passado
Acompanha fans ?
[1] Curtir
Responder",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/nV35iA/gabinete-c3-tech-aquarius-mtg810wh
Gabinete Rise Mode Galaxy Glass M Mini MicroATX Mini Tower (Preto),"Último menor preço praticado: R$ 352,90 (R$ 299,99 no PIX) em 27/06/2025 por Kabum.","Add na build
Especificações
Fabricante Rise Mode
Modelo Galaxy Glass M Mini
PN
RM-GA-GGMN-FB
Tipo MicroATX Mini Tower
Formatos de placa-mãe suportados
Micro ATX
Mini ITX
Fonte inclusa
Potência da fonte inclusa
Painel frontal USB 3.0/3.1
Filtro removível
Janela lateral
USB 2.0 2
USB 3.0 1
Slots de expansão Full-Height 4
Slots de expansão Half-Height 0
Baia externa 5.25"" 0
Baia externa 3.5"" 0
Baia interna 3.5"" 1
Baia interna 2.5"" 2
Tamanho máximo da placa de vídeo 340 mm
Dimensões 358 x 275 x 360 mm
Volume 35.4 litros
Peso
Cor Preto
Cor do LED RGB
Preços
Produto indisponível atualmente
Último menor preço praticado: R$ 352,90 (R$ 299,99 no PIX) em 27/06/2025 por Kabum.
Loja Frete Preço Preço PIX

Ir à loja

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Nós te avisamos quando voltarem os estoques
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
e_martiinsx · há 6 meses
Na minha build diz que meu WC de 120mm não é compativel com esse gabinete porque o diametro do radiador é grande, procede ou cabe?
[1] Curtir
Responder
capi · há 4 meses
deve ser o lugar dos parafuso do gabinet q n chega no diametro do seu wc de 120cm
[1] Curtir
Responder
VictorHugo001 · há 7 meses
Ao montar essa configuração no site, consta que o gabinete não suporta WC de 240mm. Não suporta mesmo? Não consegui informação alguma no site da fabricante em relação à isso, apenas a quantidade de ventoinhas suportadas.
[1] Curtir
Responder
diegoslvr · há 7 meses (editado)
Suporta WC de 240mm na parte superior, na lateral vai depender do formato da placa-mãe.
[1] Curtir
Responder
lord_ch2012 · há 7 meses
as vent vem junto com o gabinete??? e se vir elas sao alteraveis??
[1] Curtir
Responder
diegoslvr · há 7 meses
O gabinete não acompanha as fans. Só comprando a parte.
[2] Curtir
Responder
giovanni_7 · há 4 meses
qual o nome das fans que estao no gabinete?
[0] Curtir
Responder",https://static.meupc.net/produto/gabinete-rise-mode-galaxy-glass-m-mini-rmgaggmnfb-5h4xGv-L.jpg,https://meupc.net/peca/baF42G/gabinete-rise-mode-galaxy-glass-m-mini-rmgaggmnfb
Gabinete Mancer Narok ATX Mid Tower (Preto),"R$ 294,11
12x de R$ 24,51","Add na build
Especificações
Fabricante Mancer
Modelo Narok
PN
MCR-NRK-RGB01
Tipo ATX Mid Tower
Formatos de placa-mãe suportados
ATX
Micro ATX
Mini ITX
Fonte inclusa
Potência da fonte inclusa
Painel frontal USB 3.0/3.1
Filtro removível
Janela lateral
Slots de expansão Full-Height 7
Slots de expansão Half-Height 0
Baia externa 5.25"" 0
Baia externa 3.5"" 0
Baia interna 3.5"" 2
Baia interna 2.5"" 2
Tamanho máximo da placa de vídeo 280 mm
Dimensões 350 x 200 x 475 mm
Volume 33.3 litros
Peso
Cor Preto
Cor do LED RGB
Preços
Loja Frete Preço Preço PIX
R$ 294,11
12x de R$ 24,51 R$ 249,99
Comprar
R$ 293,90
1x de R$ 293,90 R$ 293,90
(Última atualização há 2 h)
Comprar
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
matheusrosadc21 · há 2 anos
Ola, Gostaria de Tirar Uma duvida, Estas fans Sao Inclusas?
[2] Curtir
Responder
Welin · ano passado
sim
[1] Curtir
Responder
brunolp · há 2 anos
Em algumas lojas vendem com ou sem as fãs. Tem que olhar no anuncio.
[1] Curtir
Responder
bentoso020 · há 2 anos
eles estao dizendo no site da pichau que vem com as fans
[1] Curtir
Responder
andre_luiz · há 2 anos
quantos? 3 ou 4??
[1] Curtir
Responder
Welin · ano passado
3
[1] Curtir
Responder",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/4c9rXe/gabinete-mancer-gamer-narok-mcrnrkrgb01
Gabinete Rise Mode X1 Black ATX Mini Tower (Preto),"R$ 94,11
3x de R$ 31,37","Add na build
Especificações
Fabricante Rise Mode
Modelo X1 Black
PN
RM-GA-OFX1-FB
Tipo ATX Mini Tower
Formatos de placa-mãe suportados
Micro ATX
Mini ITX
Fonte inclusa
Potência da fonte inclusa
Painel frontal USB 3.0/3.1
Filtro removível
Janela lateral
USB 2.0 1
USB 3.0 1
Slots de expansão Full-Height 4
Slots de expansão Half-Height 0
Baia externa 5.25"" 0
Baia externa 3.5"" 0
Baia interna 3.5"" 2
Baia interna 2.5"" 3
Tamanho máximo da placa de vídeo
Dimensões 315 x 170 x 350 mm
Volume 18.7 litros
Peso
Cor Preto
Cor do LED RGB
Preços
Loja Frete Preço Preço PIX
R$ 94,11
3x de R$ 31,37 R$ 79,99
Comprar
Grátis R$ 158,75
1x de R$ 158,75 R$ 158,75
Comprar
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/GSexSF/gabinete-rise-mode-x1-black-rm-ga-ofx1-fb
Gabinete Rise Mode Wave ATX Mid Tower (Preto),"R$ 235,26
9x de R$ 26,14","Add na build
Especificações
Fabricante Rise Mode
Modelo Wave
PN
RM-WA-FB-ARGB
Tipo ATX Mid Tower
Formatos de placa-mãe suportados
ATX
Micro ATX
Mini ITX
Fonte inclusa
Potência da fonte inclusa
Painel frontal USB 3.0/3.1
Filtro removível
Janela lateral
USB 2.0 1
USB 3.0 1
Slots de expansão Full-Height 7
Slots de expansão Half-Height 0
Baia externa 5.25"" 0
Baia externa 3.5"" 0
Baia interna 3.5"" 2
Baia interna 2.5"" 3
Tamanho máximo da placa de vídeo 320 mm
Dimensões 360 x 200 x 456 mm
Volume 32.8 litros
Peso
Cor Preto
Cor do LED RGB
Preços
Loja Frete Preço Preço PIX
R$ 235,26
9x de R$ 26,14 R$ 199,99
Comprar
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
natan602 · há 4 meses
compença?
[1] Curtir
Responder
ArthurS · há 3 meses
Compençar não sei... Mas acho que compensa
[1] Curtir
Responder",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/UZo4I6/gabinete-rise-mode-wave-rmwafbargb
Gabinete Rise Mode Galaxy Glass M Mini MicroATX Mini Tower (Branco),"R$ 388,20
10x de R$ 38,82","Add na build
Especificações
Fabricante Rise Mode
Modelo Galaxy Glass M Mini
PN
RM-GA-GGMN-FW
Tipo MicroATX Mini Tower
Formatos de placa-mãe suportados
Micro ATX
Mini ITX
Fonte inclusa
Potência da fonte inclusa
Painel frontal USB 3.0/3.1
Filtro removível
Janela lateral
USB 2.0 2
USB 3.0 1
Slots de expansão Full-Height 4
Slots de expansão Half-Height 0
Baia externa 5.25"" 0
Baia externa 3.5"" 0
Baia interna 3.5"" 1
Baia interna 2.5"" 2
Tamanho máximo da placa de vídeo 340 mm
Dimensões 358 x 275 x 360 mm
Volume 35.4 litros
Peso
Cor Branco
Cor do LED RGB
Preços
Loja Frete Preço Preço PIX
R$ 388,20
10x de R$ 38,82 R$ 329,99
Comprar

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/L4s63s/gabinete-rise-mode-galaxy-glass-m-mini-rmgaggmnfw
Gabinete C3 Tech Aquarius MicroATX Mini Tower (Preto),"R$ 282,30
10x de R$ 28,23","Add na build
Especificações
Fabricante C3 Tech
Modelo Aquarius
PN
MT-G810BK
Tipo MicroATX Mini Tower
Formatos de placa-mãe suportados
Micro ATX
Mini ITX
Fonte inclusa
Potência da fonte inclusa
Painel frontal USB 3.0/3.1
Filtro removível
Janela lateral
USB 2.0 1
USB 3.0 1
USB 3.0 Type-C 1
Slots de expansão Full-Height 4
Slots de expansão Half-Height 0
Baia externa 5.25"" 0
Baia externa 3.5"" 0
Baia interna 3.5"" 2
Baia interna 2.5"" 2
Tamanho máximo da placa de vídeo 330 mm
Dimensões 339 x 276 x 330 mm
Volume 30.9 litros
Peso
Cor Preto
Cor do LED RGB
Preços
Loja Frete Preço Preço PIX
R$ 282,30
10x de R$ 28,23 R$ 239,99
Comprar
R$ 257,05
1x de R$ 257,05 R$ 257,05
(Última atualização há 2 h)
Comprar
R$ 329,00
12x de R$ 27,42 R$ 279,65
Comprar

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
pelo · há 5 meses
cabe um water coller de 240mm?
[1] Curtir
Responder",https://static.meupc.net/produto/gabinete-c3-tech-aquarius-mtg810bk-AW8i4o-L.jpg,https://meupc.net/peca/bjy45B/gabinete-c3-tech-aquarius-mtg810bk
Gabinete Montech AIR 100 ARGB MicroATX Mini Tower (Preto),"R$ 388,12
12x de R$ 32,34","Add na build
Especificações
Fabricante Montech
Modelo AIR 100 ARGB
PN
AIR 100 ARGB
Tipo MicroATX Mini Tower
Formatos de placa-mãe suportados
Micro ATX
Mini ITX
Fonte inclusa
Potência da fonte inclusa
Painel frontal USB 3.0/3.1
Filtro removível
Janela lateral
USB 2.0 1
USB 3.0 2
Slots de expansão Full-Height 4
Slots de expansão Half-Height 0
Baia externa 5.25"" 0
Baia externa 3.5"" 0
Baia interna 3.5"" 2
Baia interna 2.5"" 2
Tamanho máximo da placa de vídeo 330 mm
Dimensões 405 x 210 x 425 mm
Volume 36.1 litros
Peso 7.8 kg
Cor Preto
Cor do LED RGB
Preços
Loja Frete Preço Preço PIX
R$ 388,12
12x de R$ 32,34 R$ 329,90
Comprar
Grátis R$ 388,90
1x de R$ 388,90 R$ 388,90
Comprar

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/Hz6577/gabinete-montech-air-100-argb-air100argb
